particle_id,in-halo,den_contrast for 12.4,den_contrast for 13.0,den_contrast for 13.6
12650039,1,-0.05409132681681597,-0.04623373938738119,-0.039031651220284076
9999760,0,-0.0483347727444423,-0.043991895330863645,-0.038475668174214356
5332091,0,-0.04241875734042408,-0.044490082898978656,-0.0388503524009135
11664083,1,-0.053501319889730524,-0.04606767686467612,-0.039031651220284076
12376887,1,-0.04150982775004921,-0.040546097984734845,-0.036976931267417655
12736240,1,-0.04178091201384523,-0.04161166583875861,-0.03752082772552937
3759292,1,-0.05321428949277007,-0.04623373938738119,-0.039031651220284076
11728421,1,-0.04482662344825894,-0.04179156690502237,-0.03678354586008908
6231772,0,-0.03495596701945214,-0.03506603473546974,-0.03541776142083073
6592250,1,-0.04549636104116666,-0.04509897881556368,-0.03851192793808847
10149292,0,-0.04372634025991054,-0.04454543707321361,-0.039031651220284076
14112317,0,-0.0336164918336367,-0.03487229512564729,-0.03278288524597847
2971950,0,-0.0529591513621386,-0.04599848414688237,-0.03897121828049385
2836606,1,-0.053612942821881775,-0.046219900843822395,-0.039031651220284076
5911129,0,-0.05334185855808587,-0.04619222375670492,-0.039031651220284076
8287605,1,-0.053373750824414735,-0.04619222375670492,-0.039031651220284076
4760449,0,-0.050583177520632606,-0.045209687164033584,-0.03899539145640996
12638481,0,-0.026919115904559296,-0.03444330027532603,-0.03602209081873267
3548725,0,-0.0397398069687931,-0.043576739024101065,-0.03893495851661974
2223301,1,-0.04900451033735002,-0.04486372357506486,-0.039007478044367966
5564584,1,-0.04828693434494889,-0.0440472495050986,-0.03835480229463401
3818842,1,-0.021959868490409245,-0.02268053825038845,-0.024479399318806445
10880043,1,-0.04155766614954262,-0.04087822303014478,-0.0373274423182008
5605062,0,-0.05401159615099359,-0.04623373938738119,-0.039031651220284076
4052011,0,-0.04380607092573292,-0.042677233692782375,-0.03870531334541705
2925615,0,-0.05391591935200677,-0.04623373938738119,-0.039031651220284076
13712181,1,-0.03895844644373413,-0.04386734843883484,-0.03888661216478762
8833264,0,-0.04479473118193007,-0.04320309834801486,-0.038004291243850866
7021411,0,-0.04795206554849503,-0.0435352233934249,-0.038475668174214356
2741591,1,-0.04473094664927212,-0.041680858556552354,-0.037097797146998
6358073,0,-0.052767797764164966,-0.04597080705976489,-0.03889869875274562
4827389,1,-0.05267212096517815,-0.045790905993501135,-0.03898330486845196
5848335,0,-0.053549158289223936,-0.04623373938738119,-0.039031651220284076
13163571,0,-0.04828693434494889,-0.045209687164033584,-0.03895913169253585
10579314,1,-0.02632910897747396,-0.026001788704488445,-0.030836944584734394
3525660,1,-0.05039182392265897,-0.0459569685162061,-0.039031651220284076
14236441,1,-0.03551408168020861,-0.037432425684016085,-0.0341003233334046
8198358,0,-0.05310266656061882,-0.046219900843822395,-0.039031651220284076
4552055,0,-0.04929154073431047,-0.04576322890638366,-0.039031651220284076
11666864,0,-0.028035345226072234,-0.03150952904087103,-0.03136875445488811
13152778,0,-0.052480767367204514,-0.046219900843822395,-0.039031651220284076
10824437,0,-0.03592868114248485,-0.038511832081598536,-0.038306455942801784
14092639,1,-0.04835071887760684,-0.045306556968944915,-0.039007478044367966
10630053,1,-0.0523850905682177,-0.045901614341971146,-0.039031651220284076
4054236,0,-0.05126886124670476,-0.04501594755421114,-0.03898330486845196
7471926,0,-0.029151574547585168,-0.03386208144585848,-0.032710365718230244
12639314,1,-0.052161844703915085,-0.04617838521314613,-0.039031651220284076
